0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.51472,0.71412,0.78046,0.81408,0.83518,0.85102,0.86666,0.87538,0.88456,0.89108,0.8993,0.9065,0.91034,0.9164,0.9206,0.92438,0.92984,0.93182,0.93574,0.9392,0.94188,0.94104,0.94596,0.94672,0.95024,0.9523,0.95432,0.95278,0.95422,0.9565,0.97846,0.98678,0.99072,0.9929,0.99392,0.99524,0.99604,0.9966,0.99734,0.9971,0.99776,0.99814,0.9982,0.9989,0.99844,0.99924,0.99916,0.99908,0.99908,0.99916,0.9992,0.99934,0.99944,0.99918,0.99956,0.99936,0.99968,0.99954,0.99952,0.99922,0.99952,0.99964,0.99986,0.99976,0.9999,0.99988,0.99982,0.99988,0.99988,0.99992,0.99998,0.99994,0.99988,0.9999,0.99992,0.99996,0.99988,0.99994,0.99988,0.99996,0.99992,0.99996,0.99994,0.99992,0.9999,0.99988,0.99998,0.99996,0.99982,0.99994,0.99992,0.99996,0.9999,0.99992,0.99996,0.99994,0.99998,0.99998,0.99994,0.99996
0.6317,0.7266,0.7677,0.7992,0.8056,0.821,0.8294,0.8461,0.8435,0.8524,0.8581,0.8683,0.8649,0.8659,0.8798,0.8714,0.8826,0.8782,0.8778,0.8792,0.8813,0.8741,0.8821,0.8828,0.8822,0.8859,0.8827,0.8849,0.8907,0.8868,0.9102,0.9112,0.9121,0.9144,0.911,0.9102,0.9131,0.913,0.912,0.9135,0.9123,0.9167,0.9115,0.9135,0.9133,0.9127,0.9159,0.9141,0.9142,0.9134,0.9119,0.9128,0.9137,0.9116,0.9128,0.9155,0.9157,0.9144,0.9145,0.913,0.9149,0.9161,0.9163,0.9174,0.9155,0.916,0.9166,0.9161,0.9158,0.9165,0.9165,0.9162,0.9169,0.916,0.9155,0.9163,0.9164,0.9152,0.9143,0.9162,0.9159,0.9159,0.9155,0.9156,0.9158,0.9162,0.9161,0.9164,0.9162,0.9159,0.9157,0.9158,0.9156,0.9157,0.9158,0.9156,0.9159,0.9162,0.9163,0.9165
0.43142,0.64214,0.73242,0.78724,0.81906,0.83994,0.85362,0.8643,0.87648,0.8849,0.89264,0.8991,0.90528,0.91202,0.91474,0.91816,0.92268,0.92474,0.92984,0.93394,0.93618,0.9361,0.93928,0.94204,0.94446,0.9454,0.9493,0.94772,0.95204,0.95282,0.977,0.9863,0.9888,0.99198,0.99306,0.9931,0.9949,0.99554,0.99594,0.9968,0.99706,0.99678,0.99706,0.99748,0.9973,0.99788,0.9978,0.99744,0.9981,0.99744,0.99784,0.99778,0.99722,0.99788,0.99718,0.99778,0.99806,0.998,0.99778,0.99742,0.99842,0.9993,0.99962,0.99952,0.9998,0.99978,0.99992,0.99984,0.99976,0.99978,0.99982,0.99988,0.99988,0.99996,0.99994,0.99988,0.99998,0.99988,0.99992,0.99986,0.9998,1.0,0.99988,0.99988,0.99996,0.99994,0.99986,0.99996,0.99994,1.0,0.99998,0.99996,0.99998,0.99996,0.99994,0.99992,0.99996,0.99996,0.99984,1.0
0.5531,0.6626,0.7483,0.7736,0.7919,0.8067,0.812,0.8239,0.84,0.8408,0.841,0.8565,0.8572,0.8581,0.8597,0.8615,0.863,0.8687,0.8625,0.8696,0.8629,0.8738,0.8786,0.8699,0.8787,0.8785,0.8798,0.8785,0.8849,0.8777,0.9042,0.9078,0.9087,0.9104,0.9094,0.9053,0.909,0.909,0.9084,0.9076,0.907,0.9061,0.9078,0.905,0.905,0.9087,0.9079,0.9121,0.9122,0.9129,0.9075,0.9071,0.9071,0.9081,0.9105,0.9088,0.9096,0.9071,0.9042,0.9069,0.9113,0.9122,0.9109,0.9123,0.9118,0.9128,0.9132,0.9133,0.914,0.9128,0.9149,0.9145,0.9137,0.9145,0.9146,0.9139,0.9147,0.9147,0.9154,0.9152,0.9152,0.9153,0.9155,0.9153,0.9147,0.9148,0.9155,0.9149,0.9146,0.9145,0.9149,0.9146,0.9152,0.9153,0.9151,0.9154,0.916,0.9156,0.9153,0.9154
0.29024,0.48986,0.6072,0.68084,0.72484,0.76514,0.79822,0.82006,0.83622,0.84934,0.86042,0.86956,0.87714,0.8837,0.88994,0.89442,0.9015,0.90406,0.9101,0.91336,0.916,0.91884,0.9227,0.92616,0.92576,0.92914,0.93206,0.93506,0.93456,0.93628,0.96702,0.97628,0.98248,0.98534,0.98666,0.98896,0.99018,0.9908,0.9913,0.99252,0.99328,0.99278,0.99302,0.994,0.9938,0.99478,0.9951,0.99492,0.99474,0.9949,0.995,0.99556,0.99444,0.99526,0.99574,0.99636,0.99546,0.9961,0.99552,0.996,0.9977,0.99858,0.9992,0.99942,0.99958,0.99938,0.99974,0.99978,0.99974,0.99964,0.99964,0.99978,0.9996,0.99982,0.99988,0.9997,0.99978,0.99978,0.99988,0.9998,0.99986,0.99994,0.99992,0.99996,0.9999,0.99992,0.9999,0.99992,0.99986,0.99982,0.99988,0.9999,0.99994,0.99992,0.99988,0.99992,0.99988,0.99988,0.99984,0.99998
0.4057,0.5272,0.5858,0.6508,0.6745,0.7066,0.7338,0.751,0.7604,0.7664,0.785,0.7954,0.7926,0.8069,0.8082,0.8171,0.8113,0.805,0.8166,0.8295,0.8204,0.8306,0.8343,0.8293,0.8412,0.836,0.838,0.8356,0.8479,0.8313,0.8732,0.8791,0.8783,0.8814,0.8832,0.8812,0.8805,0.8803,0.8839,0.8786,0.8832,0.8789,0.874,0.8775,0.8742,0.8749,0.8805,0.8803,0.8802,0.8802,0.8864,0.8815,0.8768,0.8815,0.8768,0.882,0.8848,0.8804,0.8741,0.8789,0.8874,0.8871,0.8881,0.8874,0.8883,0.8884,0.8888,0.8882,0.8892,0.8884,0.8898,0.8884,0.8891,0.8892,0.8896,0.8898,0.8895,0.8893,0.889,0.8881,0.8893,0.8895,0.889,0.8886,0.8892,0.8894,0.8894,0.8895,0.8891,0.8895,0.8898,0.8895,0.8895,0.8893,0.8894,0.8897,0.8892,0.8899,0.89,0.8898
