0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.43862,0.60668,0.67534,0.72172,0.75078,0.7711,0.78428,0.8006,0.81124,0.82094,0.82824,0.83408,0.83992,0.84852,0.84988,0.85674,0.86058,0.86364,0.8698,0.8715,0.8709,0.87806,0.87876,0.8831,0.8842,0.8859,0.88788,0.88812,0.89146,0.89226,0.92498,0.93402,0.93736,0.94004,0.94296,0.94382,0.94592,0.94702,0.94764,0.94874,0.9501,0.95152,0.95112,0.95146,0.95298,0.95414,0.95382,0.95466,0.95558,0.9548,0.95638,0.95746,0.9566,0.95672,0.95806,0.95862,0.95884,0.959,0.95956,0.9588,0.96794,0.97132,0.9736,0.97322,0.97478,0.97502,0.97534,0.97542,0.97618,0.9775,0.97824,0.97934,0.97762,0.97866,0.97764,0.97698,0.97856,0.97842,0.97836,0.9795,0.97962,0.98204,0.98092,0.98184,0.98094,0.981,0.98234,0.98144,0.98222,0.98156,0.98196,0.98252,0.98204,0.98248,0.9817,0.9826,0.98242,0.98298,0.9829,0.98354
0.6159,0.6819,0.7333,0.7694,0.7998,0.8,0.8126,0.8352,0.842,0.8449,0.8546,0.8571,0.855,0.859,0.8689,0.8731,0.8816,0.8762,0.872,0.8729,0.8848,0.8852,0.884,0.8817,0.8831,0.8839,0.8847,0.8865,0.888,0.8872,0.915,0.9165,0.9204,0.9166,0.9209,0.9194,0.9209,0.922,0.9199,0.9257,0.9204,0.9205,0.9217,0.9199,0.9264,0.9211,0.9208,0.9217,0.9248,0.9249,0.923,0.919,0.9188,0.9184,0.9209,0.92,0.9198,0.9238,0.9239,0.9211,0.9287,0.9298,0.9299,0.931,0.9311,0.932,0.9298,0.9305,0.9314,0.9323,0.929,0.9337,0.9318,0.9292,0.9287,0.9299,0.9325,0.9314,0.9307,0.9329,0.9332,0.9327,0.9314,0.9324,0.9338,0.9342,0.9342,0.9337,0.9322,0.933,0.9324,0.9325,0.9343,0.934,0.9316,0.934,0.9341,0.934,0.9345,0.9331
0.39882,0.57038,0.65638,0.70804,0.74076,0.7579,0.7777,0.79354,0.80126,0.81466,0.82256,0.83092,0.83666,0.8418,0.84534,0.851,0.85624,0.86084,0.86484,0.8657,0.87024,0.8753,0.877,0.87922,0.88098,0.8836,0.88798,0.88678,0.89058,0.88962,0.92344,0.9344,0.93578,0.93958,0.94182,0.94262,0.94518,0.94468,0.94604,0.94786,0.94974,0.95014,0.95202,0.95286,0.95338,0.95352,0.95486,0.95502,0.95442,0.9558,0.95742,0.95646,0.9586,0.9574,0.95968,0.95666,0.9578,0.9601,0.95722,0.9593,0.96722,0.97248,0.97444,0.97438,0.97438,0.97722,0.97622,0.97752,0.977,0.9772,0.97688,0.97796,0.97888,0.9789,0.9781,0.97862,0.9778,0.97926,0.97968,0.98044,0.98016,0.9822,0.98164,0.98128,0.98226,0.98228,0.98194,0.98166,0.98276,0.98228,0.98182,0.98196,0.98234,0.9833,0.98302,0.98282,0.98402,0.9817,0.98452,0.98216
0.5393,0.6483,0.7064,0.7531,0.7893,0.7953,0.8147,0.8168,0.8271,0.8452,0.849,0.8493,0.8586,0.8644,0.8623,0.8624,0.869,0.8699,0.867,0.8777,0.8779,0.8743,0.8785,0.8845,0.8852,0.8907,0.8917,0.8897,0.8804,0.8889,0.9147,0.9184,0.9206,0.9208,0.9207,0.922,0.924,0.9204,0.9226,0.9216,0.9281,0.9238,0.9252,0.9239,0.9247,0.9231,0.9282,0.9266,0.923,0.9209,0.9261,0.9224,0.9184,0.9261,0.9253,0.925,0.9194,0.9223,0.9203,0.923,0.9273,0.9299,0.9304,0.9288,0.9336,0.9324,0.9323,0.9311,0.9295,0.9329,0.9304,0.9324,0.934,0.9332,0.9334,0.9349,0.9352,0.9327,0.9343,0.9341,0.9352,0.9344,0.9342,0.9341,0.9345,0.9348,0.9341,0.9347,0.9351,0.9356,0.9339,0.9348,0.9353,0.9355,0.9327,0.9341,0.9348,0.9365,0.9347,0.9316
0.29044,0.46742,0.55288,0.61544,0.65928,0.69466,0.7226,0.74662,0.76802,0.78564,0.7936,0.80566,0.81022,0.82004,0.8266,0.8337,0.8394,0.84334,0.84854,0.85244,0.85302,0.85644,0.86298,0.86464,0.86868,0.8684,0.87514,0.87572,0.8769,0.88004,0.91538,0.92492,0.9305,0.9312,0.93292,0.93384,0.93688,0.93954,0.94032,0.94112,0.94062,0.94342,0.9438,0.94538,0.946,0.94758,0.947,0.94772,0.94826,0.94936,0.95032,0.94824,0.95076,0.95054,0.95122,0.95252,0.95252,0.95094,0.95312,0.9523,0.96522,0.97006,0.972,0.9723,0.97172,0.97342,0.97444,0.97444,0.97544,0.97562,0.97512,0.9752,0.97602,0.97634,0.97624,0.97666,0.97802,0.97748,0.97736,0.9783,0.97932,0.97992,0.98024,0.97972,0.9798,0.98092,0.98042,0.98262,0.9811,0.98104,0.9829,0.98184,0.98176,0.98124,0.9816,0.98146,0.98212,0.98198,0.98118,0.98152
0.428,0.5122,0.5931,0.6305,0.6686,0.6982,0.7288,0.7381,0.7669,0.7767,0.7894,0.7916,0.8176,0.8166,0.8257,0.828,0.8294,0.8185,0.8376,0.8432,0.8523,0.8549,0.8546,0.86,0.8463,0.8557,0.8692,0.8639,0.8604,0.8728,0.897,0.9042,0.906,0.9057,0.9058,0.9055,0.9106,0.9069,0.9044,0.908,0.9094,0.9083,0.9094,0.9093,0.9115,0.9091,0.9121,0.9133,0.9101,0.9144,0.9135,0.9134,0.9133,0.9094,0.9089,0.9092,0.9116,0.9127,0.9079,0.9122,0.9221,0.917,0.9217,0.9222,0.9218,0.9262,0.9226,0.9221,0.9211,0.9244,0.9233,0.9225,0.9233,0.9214,0.9224,0.9267,0.9257,0.9241,0.9236,0.9233,0.9226,0.9234,0.9249,0.9252,0.9234,0.9235,0.9247,0.9247,0.9259,0.9243,0.926,0.9226,0.9258,0.9248,0.9237,0.9248,0.9244,0.9276,0.9259,0.9255
